Identificador de la vivienda,Mujer,Edad,Tamaño de localidad,Agua de la red pública,Confianza con la salud,Continuidad en el suministro,Agua para beber,Alimentos descongelados,Energía para cocinar,Recolección de basura,Separación de basura,Número de vehículos,Elección de productos de limpieza,Elección de alimentos,Especificación de alimentos,Menos empaques,Reusar empaques,Gasto de gasolina,Fenómeno climático,Cultivos
100494053,1,61,1,1,3,3,1,2,3,2,1,0,1,2, ,3,3,3,2, 
100515054,1,45,1,1,3,3,1,1,3,2,2,3,5,2, ,3,3,3,2, 
100515086,1,19,1,1,3,2,1,2,3,2,1,2,1,2, ,3,3,3,2, 
100620067,1,36,1,1,3,3,1,2,3,2,2,1,4,2, ,3,3,1,2, 
100816001,1,69,1,1,1,2,1,1,3,2,2,1,4,2, ,3,3,3,2, 
100935044,1,48,1,1,3,3,1,1,3,2,2,2,5,2, ,3,3,3,2, 
101042017,1,57,1,1,3,3,1,2,3,2,1,1,4,2, ,3,3,3,2, 
101096051,1,53,1,1,3,3,1,2,3,2,1,1,4,2, ,3,3,2,2, 
101207001,1,62,1,1,1,3,1,2,3,2,2,1,5,2, ,3,3,3,2, 
101482113,1,75,1,1,3,2,2,2,3,2,2,1,3,2, ,3,3,3,2, 
101489071,1,37,1,1,2,3,1,2,3,2,2,1,1,2, ,3,3,3,2, 
101917029,1,47,1,1,3,3,2,2,3,2,1,1,5,2, ,3,3,3,2, 
101929175,1,50,1,1,2,3,1,1,3,2,1,2,2,2, ,3,3,3,2, 
101997024,1,36,2,1,1,3,1,2,3,2,2,1,5,2, ,3,3,3,2, 
101997114,1,47,2,1,3,3,1,2,3,2,2,1,5,2, ,3,3,3,2, 
102141141,1,36,2,1,2,3,1,2,3,2,1,2,1,2, ,3,3,3,2, 
102174016,1,62,2,1,2,2,1,1,3,2,1,2,1,2, ,3,3,3,2, 
102240097,1,52,3,1,1,2,2,2,3,2,2,2,5,2, ,3,3,3,2, 
102334143,1,36,3,1,3,2,1,1,3,1,1,1,2,2, ,3,3,3,2, 
102334197,1,45,3,1,3,2,1,2,3,1,2,1,2,2, ,3,3,3,2, 
102362048,1,39,3,1,2,2,1,1,3,1,1,1,5,2, ,3,3,3,2, 
102362083,1,31,3,1,3,2,2,2,3,2,2,0,4,2, ,3,3,1,2, 
102362105,1,23,3,1,3,2,1,2,3,2,2,1,1,2, ,3,3,3,2, 
102363066,1,26,3,1,1,2,2,2,5,2,1,0,5,2, ,3,3,3,2, 
102371213,1,27,1,1,3,2,1,2,5,2,1,1,4,2, ,3,3,3,2, 
160042030,1,51,4,1,3,1,1,2,3,2,1,3,2,2, ,3,3,3,2, 
160042133,1,12,4,1,1,1,1,2,3,2,2,1,5,2, ,3,3,3,2, 
160042170,1,27,4,1,1,3,1,2,3,2,2,1,5,2, ,3,3,3,2, 
160141153,1,42,4,1,2,1,2,2,3,2,2,1,5,2, ,3,3,3,2, 
160229159,1,34,4,1,3,3,1,2,3,1,2,0,5,2, ,3,3,3,2, 
200213033,1,70,1,1,1,3,1,1,3,2,1,1,1,2, ,3,1,3,2, 
201096128,1,74,1,1,3,3,1,2,4,1,2,2,1,2, ,3,3,3,2, 
201096147,1,20,1,1,3,3,1,2,3,1,2,0,3,2, ,3,3,3,2, 
201341100,1,84,1,1,3,3,1,2,3,1,2,1,1,2, ,3,3,3,2, 
201663036,1,75,1,1,3,3,1,1,3,1,1,2,4,2, ,3,3,3,2, 
201826039,1,28,1,1,9,2,1,1,3,1,2,1,5,2, ,3,3,3,2, 
202001026,1,38,1,1,3,3,1,1,3,1,1,1,5,2, ,3,3,3,2, 
202104068,1,37,1,1,2,3,1,1,3,1,2,2,4,2, ,3,3,3,2, 
202260112,1,23,1,1,2,3,1,1,3,1,2,3,4,2, ,3,3,3,2, 
202309073,1,41,1,1,3,3,1,1,3,1,1,1,5,2, ,3,3,3,2, 
202460009,1,60,1,1,3,3,1,1,4,2,1,2,4,2, ,3,3,3,2, 
202460034,1,47,1,1,3,3,1,1,3,1,2,2,2,2, ,3,3,3,2, 
203018003,1,48,1,1,3,3,1,1,4,1,2,2,4,2, ,3,3,3,2, 
203372085,1,43,1,1,2,2,1,1,3,1,1,0,2,2, ,3,3,3,2, 
204676030,1,52,1,1,3,3,1,1,3,1,2,1,5,2, ,3,3,2,2, 
915061147,1,39,1,1,3,3,1,2,3,1,1,2,1,2, ,3,3,3,1,2
205455032,1,39,1,1,3,3,1,1,3,1,2,2,4,2, ,3,3,3,2, 
206155039,1,24,1,1,3,3,1,1,3,1,1,1,1,2, ,3,3,1,2, 
206591089,1,51,1,1,3,3,1,2,3,1,2,1,4,2, ,3,3,3,2, 
206648070,1,38,1,1,3,2,1,2,3,1,2,1,5,2, ,3,3,3,2, 
206690004,1,76,1,1,3,3,1,1,7,1,1,1,5,2, ,3,3,3,2, 
206792075,1,34,1,1,3,1,1,1,3,1,2,1,3,2, ,3,3,3,2, 
206990083,1,53,2,1,2,1,1,1,3,1,2,1,5,2, ,3,3,3,2, 
206990211,1,47,2,1,3,3,1,1,3,1,1,2,4,2, ,3,3,3,2, 
206990239,1,39,2,1,3,3,1,1,3,1,1,2,4,2, ,3,3,3,2, 
207283098,1,72,2,1,2,3,1,1,3,1,1,0,5,2, ,3,3,3,2, 
207283120,1,44,2,1,2,3,1,1,3,1,1,0,5,2, ,1,3,3,2, 
207689182,1,54,2,1,2,3,1,1,3,1,1,3,1,2, ,3,3,3,2, 
207924216,1,50,3,1,2,3,1,1,3,1,2,2,1,2, ,3,3,3,2, 
300040013,1,50,1,1,3,1,1,2,3,1,2,1,4,2, ,3,3,3,2, 
300040124,1,36,1,1,3,2,1,2,3,1,2,0,5,2, ,2,3,3,2, 
300050004,1,26,1, , , ,1,1,3,1,2,1,5,2, ,3,3,3,2, 
300065019,1,45,1,1,1,2,1,1,3,1,2,1,2,2, ,3,3,3,2, 
300065124,1,53,1,1,2,3,1,2,3,1,2,5,4,2, ,3,3,3,2, 
300150053,1,33,1,1,2,1,1,1,3,1,2,2,6,2, ,3,3,3,2, 
300150083,1,75,1,1,1,3,1,2,3,1,2,0,1,2, ,3,3,3,2, 
300183067,1,41,1,1,3,2,1,2,3,1,2,1,1,2, ,3,3,3,2, 
300217007,1,52,1,1,2,3,1,1,3,1,1,2,4,2, ,3,3,3,2, 
300221024,1,75,1,1,1,1,1,2,3,1,2,5,6,2, ,3,3,3,2, 
300221107,1,34,1,1,2,1,1,1,3,1,2,1,5,2, ,3,3,3,2, 
300222026,1,36,1,1,3,3,1,1,3,1,2,1,1,2, ,3,3,3,2, 
300270021,1,23,1,1,3,3,1,2,5,1,1,3,5,2, ,3,3,3,2, 
300304032,1,28,1,1,3,3,1,1,3,2,1,0,1,2, ,3,3,3,2, 
300465036,1,33,1,1,1,3,1,2,3,1,2,1,4,2, ,3,3,2,2, 
2001277210,1,78,2,1,2,3,3,1,1,1,1,1,2,2, ,3,3,2,1,2
300753088,1,48,2,1,3,3,1,1,3,1,1,0,5,2, ,3,3,3,2, 
300815428,1,42,2,1,3,3,1,1,3,1,1,3,2,2, ,3,3,3,2, 
300840080,1,31,2,1,2,1,1,1,3,1,2,0,4,2, ,3,3,1,2, 
300840141,1,22,2,1,3,2,1,1,3,1,2,1,1,2, ,3,3,3,2, 
300840171,1,24,2,1,3,2,1,2,7,1,1,0,6,2, ,3,3,3,2, 
300840217,1,37,2,1,9,3,1,1,3,1,2,1,1,2, ,3,3,1,2, 
300840226,1,35,2,1,2,2,1,1,3,1,2,2,5,2, ,3,3,3,2, 
300854017,1,35,2,1,1,1,1,1,3,1,2,2,4,2, ,3,3,3,2, 
300854057,1,27,2,1,3,2,1,1,3,1,1,1,4,2, ,3,3,3,2, 
300854093,1,71,2,1,1,9,1,2,3,1,1,2,4,2, ,1,3,1,2, 
300893051,1,35,2,1,2,3,1,1,3,1,2,2,1,2, ,3,3,3,2, 
301009294,1,42,2,1,2,2,1,2,3,1,1,1,5,2, ,3,3,3,2, 
2001277142,1,18,2,1,3,2,2,2,1,1,1,0,5,2, ,3,3,3,1,2
2900138020,1,51,2,1,1,2,1,1,3,1,2,0,1,2, ,3,3,3,1,2
301135360,1,58,2,1,1,2,1,1,3,1,2,0,1,2, ,3,3,2,2, 
301171056,1,42,3,1,2,2,1,2,3,1,2,2,4,2, ,3,3,3,2, 
301305119,1,49,3,1,2,2,1,1,3,1,1,1,1,2, ,3,3,3,2, 
301414048,1,45,3,1,1,2,1,1,3,1,2,1,5,2, ,3,3,1,2, 
301414084,1,52,3,1,2,3,1,2,3,1,2,1,2,2, ,3,3,3,2, 
301414156,1,68,3,1,1,2,1,1,3,1,2,2,1,2, ,3,3,3,2, 
2001277071,1,39,2,1,2,1,1,2,1,1,1,0,5,2, ,3,3,3,1,2
301414248,1,46,3,1,2,2,1,2,3,1,2,2,4,2, ,3,3,3,2, 
360079043,1,35,4,1,2,1,1,2,3,3,2,1,5,2, ,3,3,3,2, 
360163099,1,45,4,1,3,3,1,2,3,1,2,2,5,2, ,3,3,3,2, 
360163127,1,45,4,1,3,3,1,2,7,1,2,1,2,2, ,3,3,3,2, 
916261073,1,55,1,1,3,3,1,2,4,1,1,0,1,2, ,3,3,3,1,2
3060715201,1,22,4,1,3,3,1,1,3,1,1,0,1,2, ,3,3,3,1,2
360164070,1,33,4,1,3,3,1,2,7,1,2,3,4,2, ,3,3,3,2, 
360164161,1,57,4,1,9,1,1,2,1,1,2,0,4,2, ,3,3,3,2, 
400156005,1,55,1,1,2,2,1,1,3,1,1,1,4,2, ,3,3,3,2, 
400163101,1,53,1,1,9,3,1,1,3,1,2,2,4,2, ,3,1,2,2, 
400195084,1,37,1,1,2,3,1,1,3,1,1,0,2,2, ,3,3,3,2, 
400332095,1,76,1,1,2,3,1,1,3,1,2,0,5,2, ,3,3,3,2, 
400425041,1,54,1,1,2,3,1,1,3,1,2,1,1,2, ,3,3,3,2, 
400531088,1,25,1,1,3,3,1,1,3,1,2,1,5,2, ,3,3,3,2, 
400532084,1,64,1,1,2,9,1,1,3,1,1,1,3,2, ,3,3,3,2, 
400609031,1,33,1,1,3,3,1,1,3,1,1,0,5,2, ,3,1,3,2, 
400651179,1,64,1,1,2,2,1,1,3,1,2,1,5,2, ,3,3,3,2, 
400721011,1,59,1,1,3,3,1,1,3,1,2,1,5,2, ,3,3,3,2, 
400793169,1,35,1,1,3,3,1,1,3,1,2,1,5,2, ,3,3,1,2, 
400793308,1,29,1,1,2,2,1,2,3,1,1,0,1,2, ,3,3,3,2, 
2401599072,1,24,1,1,3,2,1,1,3,1,1,1,4,2, ,3,3,3,1,2
400929014,1,48,1,2, , ,1,2,3,1,2,1,1,2, ,3,3,3,2, 
400946084,1,52,1,1,3,2,1,2,3,1,1,0,1,2, ,3,3,3,2, 
400985012,1,52,1,1,1,2,1,1,3,1,2,1,6,2, ,3,3,3,2, 
401002063,1,32,1,1,1,1,1,1,3,1,1,1,1,2, ,3,3,1,2, 
401344160,1,65,3,1,3,3,1,2,3,1,2,1,5,2, ,3,3,2,2, 
401499202,1,31,3,1,2,3,1,1,3,1,1,1,5,2, ,3,3,3,2, 
401499221,1,40,3,1,3,3,1,1,3,1,2,2,5,2, ,3,3,3,2, 
460024104,1,63,4,1,2,3,1,1,3,3,1,0,5,2, ,3,1,3,2, 
460024219,1,47,4,1,2,3,1,1,3,3,1,0,4,2, ,3,3,3,2, 
460140273,1,21,4,1,3,2,1,2,1,3,1,0,1,2, ,3,3,3,2, 
360164160,1,44,4,1,1,3,1,2,3,1,2,0,2,2, ,3,3,3,1,2
460194091,1,54,4,1,3,2,1,2,1,3,2,0,4,2, ,3,3,3,2, 
601334096,1,39,2,1,2,2,1,1,1,1,1,0,5,2, ,3,3,3,1,2
601334096,1,39,2, , , ,1,1,1,1,1,0,4,2, ,3,3,3,1,2
500197016,1,55,1,1,3,3,1,1,3,1,2,1,5,2, ,3,3,3,2, 
500492037,1,27,1,1,1,3,1,2,3,1,1,2,1,2, ,3,3,3,2, 
500733002,1,20,1,1,2,3,1,1,3,2,2,2,1,2, ,3,1,3,2, 
500733056,1,33,1,1,2,2,1,1,3,2,2,2,1,2, ,3,3,3,2, 
500733069,1,33,1,1,3,3,1,1,3,2,2,0,1,2, ,3,3,3,2, 
501169085,1,43,1,1,1,3,1,1,3,1,1,0,5,2, ,3,3,3,2, 
501909042,1,50,1,1,2,2,2,1,4,1,2,2,4,2, ,3,3,3,2, 
501946093,1,46,1,1,3,3,1,1,3,1,2,2,4,2, ,3,3,3,2, 
502438083,1,54,1,1,2,2,1,1,4,1,1,2,5,2, ,3,3,3,2, 
504534092,1,58,1,1,3,1,1,1,3,1,1,1,4,2, ,3,3,3,2, 
504876096,1,40,1,1,1,3,1,1,3,1,1,1,5,2, ,3,3,3,2, 
505523017,1,63,2,1,1,2,1,2,3,1,2,2,4,2, ,3,2,3,2, 
506123045,1,85,2,1,1,2,1,2,4,1,2,2,4,2, ,3,3,1,2, 
506151059,1,43,2,1,2,3,1,1,3,1,2,0,1,2, ,3,3,3,2, 
506151175,1,42,2,1,3,3,1,1,3,1,1,0,1,2, ,3,3,2,2, 
506619021,1,36,3,2, , ,1,1,3,1,1,2,1,2, ,3,3,3,2, 
506619085,1,35,3,2, , ,1,1,3,1,2,1,5,2, ,3,3,3,2, 
506619104,1,34,3,2, , ,1,2,3,1,2,0,3,2, ,3,3,1,2, 
3008226050,1,57,3,1,1,1,1,1,3,1,2,1,2,2, ,3,3,3,1,2
560006045,1,48,4,1,3,3,2,1,3,2,2,1,5,2, ,3,3,3,2, 
600054077,1,41,1,1,3,3,1,1,3,1,1,2,1,2, ,3,3,1,2, 
600069087,1,45,1,1,3,3,3,1,3,1,2,1,5,2, ,3,3,3,2, 
2503250128,1,61,1,1,2,3,1,1,3,1,2,3,4,2, ,3,3,1,1,2
600687054,1,43,1,1,1,3,1,1,3,1,1,2,2,2, ,3,3,3,2, 
2605919186,1,53,2,1,1,1,1,1,3,1,1,2,2,2, ,3,3,3,1,2
600864048,1,76,1,1,2,3,1,1,3,1,1,0,1,2, ,3,3,3,2, 
600864102,1,54,1,1,3,3,2,1,3,1,1,2,5,2, ,3,3,3,2, 
600868075,1,83,1,1,3,3,1,1,3,1,1,1,1,2, ,3,3,3,2, 
600875020,1,34,1,1,3,3,1,1,3,1,1,0,1,2, ,3,3,3,2, 
600943011,1,60,1,1,2,3,1,1,7,1,1,1,5,2, ,3,3,3,2, 
600967141,1,27,1,1,3,2,1,2,3,1,2,1,3,2, ,3,3,2,2, 
600967154,1,33,1,1,2,1,1,1,3,1,2,2,4,2, ,3,3,1,2, 
601062010,1,38,1,1,3,2,1,1,3,1,1,2,5,2, ,3,3,3,2, 
601088031,1,24,1,1,3,3,1,1,3,1,1,1,2,2, ,3,3,3,2, 
601088091,1,32,1,1,2,3,1,1,3,1,2,1,1,2, ,2,3,1,2, 
601105043,1,45,1,1,1,3,1,1,3,1,1,1,1,2, ,3,3,1,2, 
601105088,1,42,1,1,3,3,1,2,3,1,1,0,1,2, ,2,2,3,2, 
2960156206,1,29,4,1,3,3,2,2,1,3,2,0,5,2, ,3,3,3,1,2
601157044,1,39,1,1,2,2,2,2,3,1,1,2,1,2, ,3,3,3,2, 
2960207319,1,17,4,1,2,2,1,2,3,1,1,0,4,2, ,3,3,3,1,2
3100686007,1,48,1,1,2,3,1,1,3,1,2,2,4,2, ,3,3,3,1,2
601322094,1,35,2,1,3,3,1,1,3,1,2,1,4,2, ,3,3,3,2, 
601449142,1,29,3,1,3,3,1,2,3,1,2,1,3,2, ,3,3,1,2, 
102362205,1,25,3,1,2,1,1,2,3,2,1,0,4,2, ,3,3,3,1,2
601520299,1,35,3,1,3,3,1,1,3,1,1,0,1,2, ,3,3,1,2, 
601531111,1,55,3,1,3,2,1,1,3,1,2,1,5,2, ,3,3,3,2, 
601531136,1,55,3,1,3,2,1,2,1,1,2,0,4,2, ,3,3,3,2, 
601531216,1,25,3,1,2,3,1,1,3,1,1,0,1,2, ,3,3,3,2, 
601548069,1,74,1,1,2,2,1,2,3,1,2,0,2,2, ,3,3,3,2, 
200849040,1,46,1,1,2,3,1,1,3,1,2,1,4,2, ,3,3,3,1,2
700102023,1,23,1,1,3,2,1,1,3,1,2,0,5,2, ,3,3,3,2, 
700102051,1,78,1,1,2,2,1,2,3,1,1,1,4,2, ,3,3,3,2, 
700362007,1,59,1,1,1,2,1,1,3,1,2,2,5,2, ,3,3,3,2, 
700584034,1,66,1,1,1,1,1,2,3,1,2,1,1,2, ,3,3,3,2, 
700584080,1,44,1,1,1,3,1,2,3,1,2,1,3,2, ,3,3,3,2, 
700606100,1,51,1,1,2,3,1,2,3,1,1,0,5,2, ,3,3,2,2, 
700675002,1,53,1,2, , ,1,1,1,1,1,1,1,2, ,3,3,3,2, 
701018040,1,31,1,1,1,3,1,2,3,1,2,0,4,2, ,3,3,2,2, 
701213025,1,76,1,1,1,3,1,1,3,1,2,2,1,2, ,3,3,3,2, 
701449057,1,45,1,1,1,2,1,1,3,1,1,2,2,2, ,3,3,3,2, 
701449086,1,44,1,1,2,1,1,2,3,1,2,3,1,2, ,3,3,3,2, 
701968106,1,63,1,1,2,3,1,2,3,1,1,1,5,2, ,3,3,2,2, 
702564269,1,37,2,1,1,3,1,1,3,1,2,1,1,2, ,3,3,3,2, 
702858126,1,39,2,2, , ,1,2,3,1,2,0,1,2, ,3,3,3,2, 
703073034,1,64,2,1,1,3,1,1,3,1,1,1,4,2, ,3,3,3,2, 
703253014,1,48,2,1,2,2,1,2,3,1,1,1,1,2, ,2,3,3,2, 
301135316,1,32,2, , , ,1,2,3,3,2,0,5,2, ,3,3,1,1,2
301305261,1,46,3,1,2,3,1,2,3,1,1,1,5,2, ,3,3,1,1,2
760284294,1,22,4,1,3,2,2,2,1,3,1,0,5,2, ,3,3,3,2, 
760686019,1,38,4,1,3,3,2,2,1,1,2,0,1,2, ,3,3,3,2, 
360079071,1,81,4,1,3,3,1,1,3,3,2,0,5,2, ,3,3,3,1,2
760867078,1,61,4,1,3,3,2,2,3,3,2,0,4,2, ,3,3,3,2, 
400311050,1,28,1,1,1,2,1,2,3,1,1,2,5,2, ,3,3,3,1,2
400809459,1,34,1,2, , ,1,2,1,1,2,0,2,2, ,3,3,3,1,2
400853090,1,67,1, , , ,1,2,7,1,2,0,4,2, ,3,3,3,1,2
761750057,1,27,4,1,3,3,2,2,1,1,1,0,4,2, ,1,3,3,2, 
761784045,1,39,4,1,2,1,1,2,1,3,1,1,4,2, ,3,3,3,2, 
761892136,1,16,4,1,3,3,2,2,1,3,1,0,5,2, ,3,3,1,2, 
800076033,1,40,1,1,1,3,1,1,3,1,2,2,5,2, ,3,3,3,2, 
800208116,1,49,1,1,3,3,1,1,3,1,1,1,4,2, ,3,3,3,2, 
801219015,1,62,1,1,1,1,2,2,4,1,1,2,4,2, ,3,3,3,2, 
801279101,1,74,1,1,2,1,2,2,4,1,2,2,4,2, ,3,3,1,2, 
801393011,1,65,1,1,3,3,2,1,3,2,2,0,5,2, ,3,3,3,2, 
801727005,1,34,1,1,1,1,1,1,4,1,1,2,1,2, ,3,3,3,2, 
801754011,1,29,1,1,1,1,1,1,3,1,1,1,4,2, ,3,3,3,2, 
460194005,1,52,4,1,3,3,1,2,1,3,1,0,2,2, ,3,3,3,1,1
802978036,1,36,1,1,1,2,1,1,3,1,2,2,5,2, ,3,3,3,2, 
803071116,1,55,1,1,1,3,1,1,3,1,2,1,5,2, ,3,3,3,2, 
803482013,1,53,1,1,3,3,2,2,3,1,2,0,4,2, ,3,3,3,2, 
804457035,1,48,1,1,3,3,1,1,4,1,2,3,4,2, ,3,3,3,2, 
805431058,1,60,1,1,1,2,1,1,4,1,2,2,4,2, ,3,3,3,2, 
805431211,1,59,1,1,2,3,2,1,4,1,1,2,4,2, ,3,3,3,2, 
806038064,1,10,1,1,2,3,1,1,3,1,1,1,1,2, ,3,3,3,2, 
806061017,1,55,1,1,3,3,1,1,4,1,1,1,5,2, ,3,3,3,2, 
500933022,1,31,1,1,1,1,1,1,3,2,2,0,4,2, ,3,3,3,1,1
501718056,1,43,1,1,3,2,1,2,4,1,1,1,1,2, ,3,3,1,1,2
503541037,1,54,1,1,2,2,1,2,3,1,1,0,4,2, ,3,3,3,1,2
